Feature	RMSE	MAE	R2
SSA 3 Lysimeter UMP 120cm %	1.0429013904892614	0.5458254889004119	0.9677830727265441
SSA 3 Lysimeter UMP 30cm %	1.1306231623204757	0.47921656916072203	0.981274114456161
SSA 3 Lysimeter UMP 75cm %	0.6950884774039299	0.38140664907339156	0.9870025676349127
SSA 3 Lysimeter battery V	0.1366244719910929	0.08446370904188491	0.9524905518498092
SSA 3 Lysimeter ec 120cm mS/cm	0.004426975791084446	0.002635854378953748	0.9542019554075503
SSA 3 Lysimeter ec 30cm mS/cm	0.00849661003372493	0.005760705046547767	0.8219520224151182
SSA 3 Lysimeter ec 75cm mS/cm	0.004914572603031367	0.0031410877827080207	0.9053454785712547
SSA 3 Lysimeter scale (1) kg	11.12848961971747	5.039816537034774	0.9783142834273483
SSA 3 Lysimeter temperature 120cm degC	0.36974199895783766	0.19878539506318618	0.9955793012904564
SSA 3 Lysimeter temperature 30cm degC	0.5786551563905298	0.4068342378767588	0.9937579264501331
SSA 3 Lysimeter temperature 75cm degC	0.38293376529489087	0.22370611208348723	0.9962544201355182
SSA 3 Lysimeter tension 120cm kPa	1.4043750411022413	0.7348334646849236	0.9774231944893383
SSA 3 Lysimeter tension 30cm kPa	0.24327117456204328	0.1288161200833907	0.939804245007293
SSA 3 Lysimeter tension 75cm kPa	1.5577131431637197	0.649447871220889	0.9797698621265454
SSA 3 Lysimeter vacuum 120cm kPa	1.5447693498037993	0.5805111693203574	0.9601020944352312
SSA 3 Lysimeter vacuum 30cm kPa	0.10507338410125552	0.040051190047847726	0.8066492657012485
SSA 3 Lysimeter vacuum 75cm kPa	2.0220591783309754	1.1094973547937665	0.9809098357047885
SSA 4 Schacht UMP (1) 120cm %	10.396119083753119	4.7514521352378765	0.6456975836105294
SSA 4 Schacht UMP (1) 30cm %	0.876589959394422	0.42955341339190145	0.9636705195211517
SSA 4 Schacht UMP (1) 75cm %	1.7503050409201883	0.7962610076028075	0.9333407443430761
SSA 4 Schacht UMP (2) 120cm %	1.4756195113632216	0.7555357566060302	0.9772984793789987
SSA 4 Schacht UMP (2) 30cm %	0.681719055236045	0.3083333832121459	0.9791685399413906
SSA 4 Schacht UMP (2) 75cm %	0.844068789946959	0.4289666367667628	0.9862924808315909
SSA 4 Schacht UMP (3) 120cm %	1.4212682585337482	0.7076792951462545	0.9805896128056657
SSA 4 Schacht UMP (3) 30cm %	1.4986286612995994	0.602228539133786	0.9628982476448812
SSA 4 Schacht UMP (3) 75cm %	1.1771897088605017	0.5720500793062174	0.9606275015125297
SSA 4 Schacht battery V	0.16182944456818527	0.1079581359141498	0.9321883078814799
SSA 4 Schacht discharge (1) l	0.0002210342996798942	0.00017608611876245155	0.0
SSA 4 Schacht discharge (2) l	0.001964332416785038	0.0015541090683782852	0.0
SSA 4 Schacht discharge (3) l	8.918853890061674e-06	7.07258097659216e-06	0.0
SSA 4 Schacht ec (1) 120cm mS/cm	0.028138902768083632	0.013917898454792568	0.7822040886784375
SSA 4 Schacht ec (1) 30cm mS/cm	0.006143882742135266	0.003981867187351704	0.9482995533167587
SSA 4 Schacht ec (1) 75cm mS/cm	0.005508768383511822	0.0033073185547800358	0.9447208175915858
SSA 4 Schacht ec (2) 120cm mS/cm	0.008926724189288106	0.004432271872985867	0.9756628227196623
SSA 4 Schacht ec (2) 30cm mS/cm	0.022684246079861695	0.011191176457881003	0.7905481116670093
SSA 4 Schacht ec (2) 75cm mS/cm	0.005078698575261945	0.002453835910849239	0.9807329289211985
SSA 4 Schacht ec (3) 120cm mS/cm	0.014459183708230145	0.0073045878411541875	0.9341424974316077
SSA 4 Schacht ec (3) 30cm mS/cm	0.008423110966489915	0.0037391256054528236	0.9435102050623102
SSA 4 Schacht ec (3) 75cm mS/cm	0.0034832930626460794	0.0021962923842897596	0.9689544719867622
SSA 4 Schacht temperature (1) 120cm degC	0.29773109149503657	0.1128141801551353	0.9970453379522611
SSA 4 Schacht temperature (1) 30cm degC	1.1697041207449352	0.4332317657722395	0.9732766675577963
SSA 4 Schacht temperature (1) 75cm degC	0.5097151860323439	0.2648194111128925	0.9937512570387937
SSA 4 Schacht temperature (2) 120cm degC	0.42703244761215264	0.25166296475139893	0.993210036511689
SSA 4 Schacht temperature (2) 30cm degC	0.4644820030306018	0.32747262405622707	0.9959799274797367
SSA 4 Schacht temperature (2) 75cm degC	0.5365980310290633	0.27939556741371546	0.9931465478842835
SSA 4 Schacht temperature (3) 120cm degC	0.7508888867716818	0.3933516902164513	0.981665643454594
SSA 4 Schacht temperature (3) 30cm degC	1.6409653988950097	0.49608433350878894	0.9501842351245973
SSA 4 Schacht temperature (3) 75cm degC	0.5343604276258481	0.27180431322060533	0.9923973814584952
SSA 4 Schacht vacuum 120cm kPa	3.7152439510215776	2.2093389499683793	0.9248613733471658
SSA 4 Schacht vacuum 140cm kPa	2.3507259714556596	1.1713869594148554	0.9319970119864321
SSA 4 Schacht vacuum 30cm kPa	5.909989587911385	3.180869565905637	0.8149317208685071
SSA 4 Schacht vacuum 75cm kPa	5.738671294020277	3.5930606871892476	0.7782027598028348
URB Lysimeter discharge (1) l	0.000748089344793947	0.0005988594562288983	0.0
URB Lysimeter inside temperature degC	0.4208572325115687	0.2514062156724305	0.9944603270438573
URB Lysimeter inside tension kPa	1.0722786972357632	0.6060370947036359	0.985004908314037
URB Lysimeter level cm	4.161858436510361	2.014817778509283	0.9844903727604472
URB Lysimeter level reference cm	0.2897584871089295	0.1118393519407781	0.9252269410553507
URB Lysimeter outside temperature degC	0.5037533174206761	0.2647152427086308	0.9918990884277314
URB Lysimeter outside tension kPa	4.4950112491823395	2.341814353700839	0.9334588037025093
URB Lysimeter outside tension reference kPa	5.671204121201752	3.123000831966181	0.9495872483294022
URB Lysimeter percolation pump mV	1.2461110682656749	0.7567855301190565	0.9557448050925454
URB Lysimeter temperature control mV	1.2884490700421884	0.7929575787909913	0.9540803541710559
URB Lysimeter vacuum kPa	2.5959882739157187	1.2849167998112336	0.9812777161277938
Weather Station UMP (1) %	0.8788238089943	0.3928604552945646	0.9786205008505575
Weather Station UMP (1) ec mS/cm	0.004189073766783667	0.0024414281892951536	0.957233384573427
Weather Station UMP (1) temperature degC	0.40629321806967345	0.2575041797727865	0.9922113103303208
Weather Station air pressure hPa	1.2474302449237675	0.8528142779526877	0.9675245523457897
Weather Station air temperature degC	1.7424909142469465	1.1639029236356655	0.9644500188949997
Weather Station battery V	0.23813375795530128	0.14695403301174614	0.8426961453620777
Weather Station humidity %	6.467323602994323	4.226177158530001	0.8844072515131631
Weather Station precipitation mm	0.00013462409033349464	0.00010427789711777635	0.0
Weather Station radiation W/qm	87.69344461185914	49.588089312111734	0.6520857421448063
Weather Station temperature (5+) degC	2.211146563483897	1.4059357551612262	0.9467747144664572
Weather Station wind direction deg	104.83576452101256	61.65031363169652	0.23789505416100376
Weather Station wind speed m/s	0.7420482001439753	0.5030297706265799	0.7165362690226216
sin_doy	0.06969529973325903	0.03993326842480702	0.9904469453814065
cos_doy	0.0647529030424814	0.035526659888222505	0.9914177065656654
sin_hour	0.5145982021128104	0.4402321001653326	0.4649690842387566
cos_hour	0.4995471765467475	0.4251415516396448	0.5092482267184213
