column,train_n,eval_n,rmse,mae,r2,model_path
SSA 3 Lysimeter UMP 120cm %,273300,68373,0.5449165989641395,0.3410577762965564,0.9915472879709987,models/imputation/random_Forest\rf_SSA_3_Lysimeter_UMP_120cm_.joblib
SSA 3 Lysimeter UMP 30cm %,273914,68515,1.4953610788583431,0.8934419297561808,0.9690478784541858,models/imputation/random_Forest\rf_SSA_3_Lysimeter_UMP_30cm_.joblib
SSA 3 Lysimeter UMP 75cm %,273300,68373,0.8459962896665509,0.5005801330907582,0.9818121204259137,models/imputation/random_Forest\rf_SSA_3_Lysimeter_UMP_75cm_.joblib
SSA 3 Lysimeter battery V,273300,68373,0.07782710771412452,0.04494529706229468,0.9848619391296957,models/imputation/random_Forest\rf_SSA_3_Lysimeter_battery_V.joblib
SSA 3 Lysimeter ec 120cm mS/cm,273300,68373,0.0037928575923125356,0.0023451225893291305,0.9664371278248912,models/imputation/random_Forest\rf_SSA_3_Lysimeter_ec_120cm_mS_cm.joblib
SSA 3 Lysimeter ec 30cm mS/cm,273300,68373,0.009534316629536374,0.006928532192362278,0.8075910720148712,models/imputation/random_Forest\rf_SSA_3_Lysimeter_ec_30cm_mS_cm.joblib
SSA 3 Lysimeter ec 75cm mS/cm,273300,68373,0.005712381008647844,0.003658951578548526,0.921884915170281,models/imputation/random_Forest\rf_SSA_3_Lysimeter_ec_75cm_mS_cm.joblib
SSA 3 Lysimeter scale (1) kg,273300,68373,28.470279555274878,12.305338436487675,0.8781293991680547,models/imputation/random_Forest\rf_SSA_3_Lysimeter_scale_1_kg.joblib
SSA 3 Lysimeter temperature 120cm degC,273300,68373,0.17868453864488515,0.1270874718925911,0.9990155379633908,models/imputation/random_Forest\rf_SSA_3_Lysimeter_temperature_120cm_degC.joblib
SSA 3 Lysimeter temperature 30cm degC,273300,68373,0.5481598839673445,0.4002307032478423,0.9946970075530502,models/imputation/random_Forest\rf_SSA_3_Lysimeter_temperature_30cm_degC.joblib
SSA 3 Lysimeter temperature 75cm degC,273300,68373,0.29758343052497543,0.19934442048601794,0.9978703615481161,models/imputation/random_Forest\rf_SSA_3_Lysimeter_temperature_75cm_degC.joblib
SSA 3 Lysimeter tension 120cm kPa,273914,68515,3.560693702571837,1.9170284792099956,0.91148611192323,models/imputation/random_Forest\rf_SSA_3_Lysimeter_tension_120cm_kPa.joblib
SSA 3 Lysimeter tension 30cm kPa,273914,68515,0.4910759072989534,0.2841774854558551,0.9288137889471898,models/imputation/random_Forest\rf_SSA_3_Lysimeter_tension_30cm_kPa.joblib
SSA 3 Lysimeter tension 75cm kPa,273914,68515,1.8276999884049858,0.9096961505725136,0.9819129332062553,models/imputation/random_Forest\rf_SSA_3_Lysimeter_tension_75cm_kPa.joblib
SSA 3 Lysimeter vacuum 120cm kPa,273914,68515,1.4344486619315884,0.5417989690065571,0.9842148891132007,models/imputation/random_Forest\rf_SSA_3_Lysimeter_vacuum_120cm_kPa.joblib
SSA 3 Lysimeter vacuum 30cm kPa,273914,68515,0.15507514715858592,0.0738728842822571,0.9230798940285766,models/imputation/random_Forest\rf_SSA_3_Lysimeter_vacuum_30cm_kPa.joblib
SSA 3 Lysimeter vacuum 75cm kPa,273914,68515,2.410556925595261,1.2384536897585525,0.9812566318245649,models/imputation/random_Forest\rf_SSA_3_Lysimeter_vacuum_75cm_kPa.joblib
SSA 4 Schacht UMP (1) 120cm %,276942,69258,0.7236086049630092,0.361020501334888,0.9983415074575955,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_1_120cm_.joblib
SSA 4 Schacht UMP (1) 30cm %,276942,69258,1.0283706571034017,0.6675674358919195,0.952054257109446,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_1_30cm_.joblib
SSA 4 Schacht UMP (1) 75cm %,276942,69258,0.6058826660690594,0.38816237278567933,0.9923968285262625,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_1_75cm_.joblib
SSA 4 Schacht UMP (2) 120cm %,276942,69258,0.8388841156139806,0.5410767741831749,0.9931886085841715,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_2_120cm_.joblib
SSA 4 Schacht UMP (2) 30cm %,276942,69258,0.8167126722527093,0.540235460713074,0.9907631856592443,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_2_30cm_.joblib
SSA 4 Schacht UMP (2) 75cm %,276942,69258,0.8530628534643392,0.49326040761386714,0.9869572898406245,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_2_75cm_.joblib
SSA 4 Schacht UMP (3) 120cm %,276942,69258,0.756212852203087,0.4511532826907248,0.9949676118783866,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_3_120cm_.joblib
SSA 4 Schacht UMP (3) 30cm %,276942,69258,2.0174311347711633,1.1490168038205988,0.949418103013582,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_3_30cm_.joblib
SSA 4 Schacht UMP (3) 75cm %,276942,69258,0.41884457298160405,0.2590798658240016,0.995360575850036,models/imputation/random_Forest\rf_SSA_4_Schacht_UMP_3_75cm_.joblib
SSA 4 Schacht battery V,276942,69258,0.08814019498518397,0.050108782260758246,0.9803976868154881,models/imputation/random_Forest\rf_SSA_4_Schacht_battery_V.joblib
SSA 4 Schacht discharge (1) l,276942,69258,0.0,0.0,1.0,models/imputation/random_Forest\rf_SSA_4_Schacht_discharge_1_l.joblib
SSA 4 Schacht discharge (2) l,276942,69258,0.0,0.0,1.0,models/imputation/random_Forest\rf_SSA_4_Schacht_discharge_2_l.joblib
SSA 4 Schacht discharge (3) l,276942,69258,0.0,0.0,1.0,models/imputation/random_Forest\rf_SSA_4_Schacht_discharge_3_l.joblib
SSA 4 Schacht ec (1) 120cm mS/cm,276942,69258,0.008377466598188865,0.00526326170856652,0.9812452534592117,models/imputation/random_Forest\rf_SSA_4_Schacht_ec_1_120cm_mS_cm.joblib
SSA 4 Schacht ec (1) 30cm mS/cm,276942,69258,0.008061804113750005,0.005772181179179431,0.9249172142705189,models/imputation/random_Forest\rf_SSA_4_Schacht_ec_1_30cm_mS_cm.joblib
SSA 4 Schacht ec (1) 75cm mS/cm,276942,69258,0.004828311707598722,0.003281975255350391,0.9634296201512601,models/imputation/random_Forest\rf_SSA_4_Schacht_ec_1_75cm_mS_cm.joblib
SSA 4 Schacht ec (2) 120cm mS/cm,276942,69258,0.009508824880376712,0.005595326305826777,0.9739939554735368,models/imputation/random_Forest\rf_SSA_4_Schacht_ec_2_120cm_mS_cm.joblib
