=== NEW RUN | model=GRU_Imputation | file=imputation_model_only_gru.pth ===
[2026-03-16 23:19:17] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=1 train_loss=0.007476 val_loss=0.010219 lr=0.00100000 best_val=0.010219
[2026-03-16 23:19:34] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=2 train_loss=0.005497 val_loss=0.010387 lr=0.00100000 best_val=0.010219
[2026-03-16 23:19:51] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=3 train_loss=0.005156 val_loss=0.010531 lr=0.00100000 best_val=0.010219
[2026-03-16 23:20:08] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=4 train_loss=0.004952 val_loss=0.010665 lr=0.00100000 best_val=0.010219
[2026-03-16 23:20:24] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=5 train_loss=0.004768 val_loss=0.010778 lr=0.00100000 best_val=0.010219
[2026-03-16 23:20:39] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=6 train_loss=0.004630 val_loss=0.010698 lr=0.00100000 best_val=0.010219
[2026-03-16 23:20:55] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=7 train_loss=0.004487 val_loss=0.010418 lr=0.00050000 best_val=0.010219
[2026-03-16 23:21:11] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=8 train_loss=0.004195 val_loss=0.009963 lr=0.00050000 best_val=0.009963
[2026-03-16 23:21:27] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=9 train_loss=0.004145 val_loss=0.009952 lr=0.00050000 best_val=0.009952
[2026-03-16 23:21:43] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=10 train_loss=0.004095 val_loss=0.010006 lr=0.00050000 best_val=0.009952
[2026-03-16 23:21:59] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=11 train_loss=0.004048 val_loss=0.009993 lr=0.00050000 best_val=0.009952
[2026-03-16 23:22:16] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=12 train_loss=0.004012 val_loss=0.009877 lr=0.00050000 best_val=0.009877
[2026-03-16 23:22:33] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=13 train_loss=0.003975 val_loss=0.009922 lr=0.00050000 best_val=0.009877
[2026-03-16 23:22:49] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=14 train_loss=0.003931 val_loss=0.009724 lr=0.00050000 best_val=0.009724
[2026-03-16 23:23:06] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=15 train_loss=0.003907 val_loss=0.009639 lr=0.00050000 best_val=0.009639
[2026-03-16 23:23:24] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=16 train_loss=0.003872 val_loss=0.009752 lr=0.00050000 best_val=0.009639
[2026-03-16 23:23:45] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=17 train_loss=0.003845 val_loss=0.009911 lr=0.00050000 best_val=0.009639
[2026-03-16 23:24:02] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=18 train_loss=0.003819 val_loss=0.009618 lr=0.00050000 best_val=0.009618
[2026-03-16 23:24:18] model=GRU_Imputation file=imputation_model_only_gru.pth epoch=19 train_loss=0.003798 val_loss=0.009568 lr=0.00050000 best_val=0.009568
